Reference_id,Sample_id,Total_reads,Mapped_reads,Percent_mapped,Avg_depth
Sphenodon_punctatus,RLK004,154882086,13744565,0.08874212218448556,0.23581570000000002
Sphenodon_punctatus,KLC098,147804009,13354115,0.09035015416936357,0.23655110000000001
Sphenodon_punctatus,RLK019,145383839,12841782,0.08833018916222181,0.220104
Sphenodon_punctatus,RLK034,159487448,16930399,0.10615505616467072,0.3058669
Stegostoma_fasciatum,RLK004,150955553,6037211,0.03999330186945822,0.1391228
Stegostoma_fasciatum,RLK019,141834080,5689140,0.040111234197027966,0.1263845
Stegostoma_fasciatum,KLC098,144200067,6076985,0.042142733539784,0.1519582
Stegostoma_fasciatum,RLK034,155706308,9870648,0.06339273037030715,0.2897436
Tretioscincus_oriximinensis,RLK004,168848663,43683414,0.25871341367979916,2.9299079999999997
Tretioscincus_oriximinensis,KLC098,160799681,41672205,0.2591560178530454,2.798712
Tretioscincus_oriximinensis,RLK019,157992788,40451927,0.25603654136415394,2.713246
Tretioscincus_oriximinensis,RLK034,172013966,46880689,0.27254001573337366,3.1650470000000004
